term	arousal	dominance	valence
exacerbate	0.776	0.58	0.323
exacerbation	0.81	0.48	0.344
exact	0.354	0.685	0.719
exacting	0.673	0.767	0.448
exaggerate	0.76	0.529	0.193
exaggerated	0.885	0.732	0.224
exaggeration	0.775	0.582	0.312
exalt	0.75	0.745	0.656
exaltation	0.892	0.673	0.594
exalted	0.845	0.696	0.676
exam	0.663	0.577	0.479
examination	0.657	0.679	0.378
examine	0.623	0.786	0.615
examiner	0.575	0.812	0.406
example	0.337	0.51	0.542
exasperated	0.816	0.377	0.229
exasperation	0.833	0.483	0.214
excavate	0.613	0.635	0.583
excavation	0.644	0.527	0.54
excavator	0.673	0.649	0.427
exceed	0.827	0.586	0.5
exceeding	0.802	0.668	0.5
excel	0.363	0.466	0.561
excellence	0.62	0.907	0.958
excellent	0.587	0.87	0.97
excelsior	0.625	0.611	0.7
excepting	0.413	0.526	0.408
exception	0.6	0.544	0.469
exceptional	0.74	0.933	0.806
excerpt	0.367	0.543	0.437
excess	0.889	0.712	0.385
excessive	0.731	0.601	0.417
excessively	0.882	0.716	0.449
exchange	0.569	0.491	0.74
excise	0.561	0.577	0.448
excision	0.48	0.519	0.26
excitability	0.91	0.724	0.906
excitable	0.939	0.629	0.803
excitation	0.958	0.75	0.792
excite	0.95	0.668	0.823
excited	0.931	0.709	0.908
excitement	0.684	0.731	0.896
exciting	0.792	0.789	0.95
exclaim	0.711	0.639	0.635
exclamation	0.745	0.598	0.612
exclude	0.5	0.53	0.292
excluded	0.54	0.134	0.061
excluding	0.55	0.324	0.271
exclusion	0.53	0.389	0.24
exclusive	0.63	0.653	0.792
excrement	0.558	0.221	0.041
excretion	0.65	0.457	0.285
excruciating	0.837	0.345	0.083
excursion	0.714	0.627	0.625
excuse	0.696	0.318	0.24
exec	0.352	0.769	0.64
execute	0.708	0.769	0.327
execution	0.811	0.713	0.16
executioner	0.816	0.676	0.235
executive	0.449	0.894	0.704
executor	0.755	0.759	0.365
exegesis	0.472	0.491	0.458
exemplar	0.537	0.625	0.844
exemplary	0.343	0.729	0.833
exemplify	0.506	0.783	0.735
exempt	0.455	0.664	0.588
exemption	0.578	0.627	0.531
exercise	0.789	0.625	0.75
exert	0.735	0.806	0.694
exertion	0.755	0.717	0.663
exhale	0.49	0.411	0.542
exhaust	0.71	0.337	0.546
exhausted	0.423	0.202	0.123
exhaustion	0.633	0.269	0.366
exhaustive	0.635	0.604	0.388
exhibit	0.633	0.708	0.688
exhibition	0.59	0.531	0.698
exhilarated	0.963	0.759	0.89
exhilarating	0.823	0.81	0.917
exhilaration	0.868	0.783	0.792
exhort	0.66	0.745	0.378
exhortation	0.624	0.58	0.531
exhumation	0.586	0.473	0.177
exhume	0.627	0.452	0.184
exigent	0.611	0.792	0.385
exile	0.63	0.483	0.184
exist	0.421	0.788	0.857
existence	0.513	0.771	0.76
existent	0.49	0.635	0.635
existential	0.51	0.638	0.583
existing	0.344	0.75	0.802
exit	0.353	0.399	0.37
exodus	0.663	0.567	0.286
exonerate	0.5	0.538	0.592
exorbitant	0.865	0.825	0.398
exorcism	0.98	0.557	0.163
exorcist	0.906	0.716	0.219
exotic	0.711	0.727	0.84
expand	0.559	0.686	0.792
expanded	0.406	0.689	0.76
expanse	0.529	0.689	0.594
expansion	0.618	0.787	0.776
expansive	0.65	0.778	0.708
expatriate	0.764	0.391	0.265
expect	0.327	0.377	0.469
expectance	0.724	0.66	0.552
expectancy	0.622	0.558	0.581
expectant	0.65	0.474	0.708
expectation	0.69	0.707	0.771
expected	0.412	0.545	0.729
expecting	0.45	0.302	0.561
expediency	0.443	0.703	0.604
expedient	0.461	0.454	0.885
expedite	0.858	0.798	0.571
expedition	0.802	0.62	0.735
expeditious	0.645	0.773	0.602
expel	0.725	0.452	0.281
expendable	0.49	0.423	0.479
expenditure	0.608	0.603	0.25
expense	0.451	0.377	0.317
expenses	0.633	0.396	0.24
expensive	0.54	0.53	0.323
experience	0.618	0.905	0.827
experienced	0.613	0.914	0.771
experiences	0.647	0.795	0.793
experiment	0.72	0.675	0.479
experimental	0.764	0.396	0.417
experimentation	0.769	0.767	0.637
experimenter	0.71	0.7	0.708
expert	0.646	0.911	0.776
expertise	0.589	0.925	0.792
expiration	0.539	0.463	0.265
expire	0.745	0.702	0.573
expired	0.394	0.2	0.198
expiry	0.434	0.382	0.194
explain	0.517	0.736	0.719
explanation	0.61	0.825	0.615
explanatory	0.433	0.688	0.573
expletive	0.567	0.536	0.357
explication	0.445	0.602	0.51
explicit	0.694	0.734	0.562
explode	0.885	0.773	0.277
exploit	0.878	0.66	0.312
exploitation	0.92	0.718	0.156
exploration	0.65	0.773	0.594
exploratory	0.69	0.698	0.653
explore	0.66	0.727	0.776
explorer	0.663	0.714	0.729
explosion	0.96	0.767	0.167
explosions	0.86	0.594	0.123
explosive	0.943	0.663	0.156
expo	0.562	0.5	0.61
exponent	0.51	0.845	0.529
exponential	0.588	0.763	0.704
export	0.661	0.755	0.567
exportation	0.633	0.673	0.76
expose	0.643	0.537	0.344
exposed	0.661	0.509	0.471
exposition	0.627	0.655	0.521
expository	0.653	0.636	0.706
exposure	0.83	0.63	0.57
expound	0.575	0.74	0.438
express	0.623	0.691	0.76
expression	0.65	0.721	0.79
expressive	0.724	0.685	0.755
expressway	0.635	0.587	0.633
expropriation	0.735	0.788	0.188
expulsion	0.79	0.529	0.19
exquisite	0.644	0.604	0.892
exquisitely	0.728	0.723	0.849
extant	0.39	0.523	0.646
extend	0.57	0.689	0.646
extendable	0.592	0.722	0.66
extended	0.304	0.649	0.57
extension	0.51	0.529	0.49
extensive	0.52	0.76	0.635
extent	0.451	0.602	0.646
exterior	0.4	0.627	0.542
exterminate	0.857	0.736	0.177
extermination	0.86	0.616	0.19
exterminator	0.804	0.887	0.344
external	0.341	0.509	0.479
externally	0.521	0.568	0.643
extinct	0.491	0.412	0.112
extinction	0.75	0.611	0.104
extinguish	0.576	0.482	0.24
extinguisher	0.379	0.543	0.707
extol	0.667	0.456	0.582
extort	0.827	0.57	0.052
extortion	0.868	0.63	0.112
extra	0.551	0.745	0.656
extract	0.402	0.519	0.565
extracting	0.709	0.689	0.521
extraction	0.74	0.526	0.418
extractor	0.536	0.519	0.302
extracurricular	0.471	0.743	0.457
extradition	0.627	0.554	0.229
extrajudicial	0.686	0.667	0.365
extramural	0.559	0.537	0.336
extraneous	0.625	0.478	0.276
extraordinaire	0.864	0.898	0.847
extraordinary	0.728	0.86	0.969
extraterrestrial	0.833	0.792	0.51
extravagance	0.802	0.7	0.531
extravagant	0.763	0.812	0.72
extravaganza	0.786	0.906	0.646
extreme	0.8	0.721	0.318
extreme anticipation	0.74	0.704	0.551
extreme disgust	0.873	0.456	0.052
extreme surprise	0.935	0.676	0.833
extreme trust	0.713	0.922	0.826
extremely	0.827	0.886	0.635
extremely negative	0.786	0.311	0.03
extremely positive	0.73	0.839	0.993
extremity	0.588	0.583	0.408
extricate	0.51	0.543	0.542
extrinsic	0.479	0.636	0.51
extrusion	0.66	0.545	0.229
exuberance	0.816	0.787	0.698
exude	0.519	0.411	0.375
eye	0.265	0.425	0.531
eyeball	0.422	0.42	0.526
eyebrow	0.198	0.222	0.51
eyeful	0.5	0.676	0.802
eyeglass	0.236	0.286	0.531
eyeglasses	0.269	0.306	0.561
eyelash	0.25	0.278	0.48
eyelet	0.298	0.346	0.632
eyeliner	0.349	0.347	0.688
eyepiece	0.347	0.48	0.418
eyes	0.279	0.432	0.76
eyesight	0.226	0.343	0.75
eyewitness	0.686	0.698	0.541
fab	0.38	0.406	0.49
fable	0.387	0.389	0.663
fabled	0.538	0.545	0.625
fabric	0.19	0.345	0.635
fabricate	0.491	0.779	0.636
fabricated	0.427	0.555	0.418
fabrication	0.587	0.705	0.573
fabulous	0.66	0.797	0.979
facade	0.333	0.518	0.52
face	0.173	0.453	0.571
faceless	0.406	0.173	0.23
facet	0.324	0.382	0.667
facial	0.429	0.433	0.594
facile	0.264	0.307	0.74
facilitate	0.333	0.509	0.812
facility	0.5	0.654	0.625
facing	0.406	0.55	0.604
facsimile	0.5	0.543	0.49
fact	0.333	0.618	0.683
faction	0.43	0.448	0.469
factor	0.365	0.678	0.635
factory	0.5	0.683	0.5
facts	0.471	0.693	0.688
factual	0.44	0.545	0.656
faculties	0.431	0.76	0.643
faculty	0.412	0.732	0.615
fad	0.52	0.57	0.663
fade	0.333	0.245	0.354
faded	0.275	0.194	0.302
faeces	0.476	0.175	0.184
fag	0.653	0.331	0.122
faggot	0.643	0.292	0.219
fail	0.578	0.154	0.177
failing	0.49	0.268	0.125
failure	0.575	0.139	0.167
fain	0.417	0.426	0.479
faint	0.429	0.167	0.063
fainting	0.51	0.214	0.333
fair	0.557	0.643	0.812
fairly	0.406	0.75	0.79
fairness	0.317	0.552	0.74
fairway	0.51	0.5	0.541
fairy	0.408	0.413	0.776
faith	0.22	0.763	0.833
faithful	0.333	0.627	0.888
faithfulness	0.426	0.602	0.833
faithless	0.683	0.304	0.102
fake	0.554	0.268	0.073
faker	0.63	0.48	0.245
falafel	0.402	0.351	0.56
falcon	0.58	0.678	0.557
fall	0.657	0.221	0.177
fallacious	0.587	0.39	0.271
fallacy	0.561	0.43	0.112
fallback	0.358	0.508	0.458
fallible	0.537	0.402	0.365
falling	0.716	0.306	0.202
fallopian	0.39	0.464	0.297
fallout	0.356	0.373	0.428
fallow	0.368	0.464	0.375
false	0.404	0.24	0.12
falsehood	0.625	0.384	0.031
falsely	0.48	0.265	0.083
falsification	0.72	0.49	0.173
falsified	0.63	0.306	0.042
falsify	0.657	0.409	0.115
falsity	0.689	0.186	0.12
falter	0.65	0.346	0.421
fame	0.755	0.852	0.896
famed	0.75	0.819	0.878
familiar	0.33	0.615	0.906
familiarity	0.346	0.616	0.854
familiarize	0.365	0.654	0.76
family	0.383	0.643	0.968
familytime	0.42	0.679	0.939
famine	0.679	0.31	0.163
famished	0.654	0.282	0.177
famous	0.775	0.882	0.916
famously	0.765	0.787	0.856
fan	0.429	0.357	0.781
fanatic	0.78	0.629	0.573
fanatical	0.83	0.714	0.555
fanaticism	0.896	0.566	0.292
fanciful	0.592	0.342	0.677
fancy	0.673	0.534	0.854
fandango	0.591	0.429	0.49
fanfare	0.64	0.437	0.656
fang	0.491	0.455	0.175
fangs	0.598	0.434	0.286
fanning	0.33	0.236	0.615
fantasia	0.694	0.436	0.898
fantasize	0.66	0.356	0.771
fantastic	0.696	0.831	0.969
fantasy	0.627	0.474	0.88
faraway	0.356	0.285	0.365
farce	0.667	0.246	0.265
farcical	0.481	0.259	0.406
fare	0.425	0.645	0.49
farewell	0.5	0.591	0.13
farm	0.327	0.297	0.781
farmer	0.432	0.464	0.677
farmhouse	0.33	0.444	0.69
farming	0.414	0.568	0.58
farmland	0.363	0.509	0.729
faro	0.349	0.357	0.544
fart	0.439	0.264	0.194
farther	0.5	0.43	0.418
fascia	0.366	0.356	0.48
fascinate	0.683	0.802	0.854
fascinated	0.714	0.788	0.812
fascinating	0.817	0.784	0.979
fascination	0.773	0.835	0.885
fascism	0.74	0.695	0.104
fascist	0.755	0.527	0.2
fashion	0.616	0.589	0.827
fashionable	0.51	0.605	0.75
fastball	0.679	0.575	0.688
fasten	0.585	0.529	0.458
fastener	0.377	0.491	0.577
fastening	0.473	0.554	0.594
fasting	0.37	0.394	0.388
fat	0.353	0.237	0.198
fatal	0.775	0.509	0.061
fatalism	0.694	0.631	0.208
fatality	0.798	0.595	0.062
fate	0.479	0.712	0.571
fated	0.472	0.692	0.582
fateful	0.583	0.402	0.29
fathead	0.527	0.463	0.296
father	0.333	0.824	0.812
fatherhood	0.519	0.682	0.885
fatherland	0.469	0.778	0.729
fatherly	0.363	0.712	0.865
fathom	0.41	0.523	0.52
fatigue	0.378	0.265	0.173
fatigued	0.433	0.245	0.146
fatso	0.394	0.336	0.286
fatten	0.549	0.363	0.375
fatty	0.361	0.325	0.286
faucet	0.278	0.356	0.427
fault	0.558	0.184	0.188
faultless	0.5	0.741	0.792
faulty	0.52	0.378	0.184
faun	0.303	0.376	0.49
fauna	0.346	0.404	0.646
faux	0.49	0.204	0.291
favor	0.308	0.519	0.812
favorable	0.38	0.788	0.952
favorite	0.59	0.691	0.885
favoriteholiday	0.618	0.582	0.867
favoritism	0.559	0.658	0.582
fawn	0.36	0.284	0.626
fax	0.368	0.304	0.406
faze	0.515	0.382	0.417
fear	0.84	0.293	0.073
feared	0.733	0.509	0.24
fearful	0.482	0.278	0.083
fearfully	0.567	0.271	0.112
fearing	0.566	0.256	0.125
fearless	0.806	0.76	0.81
fears	0.821	0.306	0.061
fearsome	0.9	0.586	0.115
feasibility	0.49	0.741	0.653
feasible	0.388	0.611	0.694
feast	0.724	0.68	0.979
feat	0.706	0.849	0.75
feather	0.208	0.144	0.677
feathered	0.288	0.214	0.438
feature	0.314	0.679	0.667
features	0.433	0.509	0.667
febrile	0.578	0.414	0.429
fecal	0.528	0.213	0.255
feces	0.407	0.307	0.24
fecundity	0.591	0.683	0.688
fed	0.37	0.482	0.602
federal	0.459	0.859	0.53
federation	0.354	0.763	0.633
fedup	0.5	0.352	0.327
fee	0.386	0.556	0.354
feeble	0.28	0.109	0.157
feed	0.429	0.739	0.812
feedback	0.557	0.645	0.622
feeder	0.452	0.713	0.604
feel	0.602	0.596	0.802
feelgood	0.441	0.621	0.99
feeling	0.329	0.531	0.806
feelingdown	0.457	0.567	0.49
feelinggood	0.449	0.655	0.94
feet	0.24	0.292	0.51
feign	0.394	0.356	0.34
feigned	0.602	0.333	0.173
feisty	0.853	0.789	0.592
felicity	0.704	0.793	0.913
feline	0.745	0.509	0.615
fell	0.462	0.25	0.255
feller	0.622	0.617	0.406
fellow	0.298	0.57	0.745
fellowship	0.429	0.778	0.9
felon	0.898	0.455	0.111
felony	0.808	0.472	0.206
felt	0.417	0.566	0.643
female	0.52	0.625	0.857
feminine	0.52	0.394	0.802
femininity	0.479	0.451	0.75
feminism	0.57	0.636	0.541
feminist	0.56	0.585	0.51
femme	0.529	0.398	0.551
femoral	0.324	0.566	0.417
femur	0.289	0.413	0.408
fen	0.276	0.379	0.49
fence	0.198	0.398	0.5
fenced	0.43	0.429	0.323
fencing	0.654	0.539	0.542
fend	0.731	0.537	0.646
fender	0.459	0.476	0.369
fennel	0.277	0.389	0.573
ferment	0.531	0.418	0.375
fermentation	0.567	0.473	0.42
fern	0.24	0.29	0.602
ferocious	0.915	0.776	0.167
ferocity	0.906	0.746	0.235
ferret	0.391	0.398	0.385
ferry	0.509	0.389	0.604
ferryboat	0.452	0.553	0.594
fertile	0.408	0.704	0.888
fertility	0.529	0.726	0.885
fertilize	0.443	0.542	0.708
fertilizer	0.463	0.565	0.438
fervent	0.632	0.773	0.646
fervor	0.769	0.651	0.573
fess	0.42	0.37	0.395
fest	0.574	0.402	0.704
festival	0.706	0.714	0.87
festive	0.74	0.764	0.854
fetal	0.308	0.364	0.388
fetch	0.363	0.491	0.479
fete	0.551	0.465	0.58
fetish	0.706	0.5	0.307
fetus	0.519	0.395	0.479
feud	0.796	0.312	0.146
feudal	0.37	0.61	0.367
feudalism	0.465	0.607	0.229
fever	0.674	0.364	0.194
feverish	0.696	0.436	0.385
fiancee	0.626	0.556	0.959
fiasco	0.6	0.2	0.167
fiat	0.418	0.446	0.52
fib	0.51	0.361	0.438
fiber	0.284	0.39	0.719
fiberglass	0.451	0.443	0.451
fibrosis	0.469	0.546	0.16
fibrous	0.441	0.464	0.48
fickle	0.481	0.346	0.406
fiction	0.657	0.441	0.438
fictional	0.49	0.34	0.43
fictitious	0.444	0.293	0.224
fiddle	0.449	0.391	0.571
fiddler	0.58	0.5	0.615
fidelity	0.58	0.709	0.765
fidgety	0.786	0.351	0.229
fiduciary	0.4	0.509	0.375
field	0.38	0.336	0.64
field hockey	0.786	0.518	0.602
fielder	0.378	0.415	0.583
fiend	0.903	0.608	0.146
fiendish	0.846	0.591	0.167
fierce	0.877	0.759	0.281
fiery	0.85	0.721	0.418
fiesta	0.779	0.655	0.927
fiesty	0.663	0.472	0.571
fifteen	0.29	0.443	0.49
fifty	0.368	0.439	0.571
fig	0.39	0.339	0.573
fight	0.868	0.809	0.531
fighter	0.76	0.898	0.637
fighting	0.885	0.783	0.292
fights	0.92	0.712	0.07
figment	0.316	0.533	0.552
figurative	0.45	0.634	0.479
figure	0.328	0.509	0.688
figurine	0.283	0.258	0.76
filament	0.452	0.377	0.51
filamentous	0.48	0.516	0.531
file	0.316	0.463	0.48
filet	0.392	0.291	0.615
filibuster	0.714	0.508	0.271
filigree	0.408	0.514	0.576
filing	0.42	0.7	0.62
filings	0.412	0.34	0.323
fill	0.449	0.637	0.729
filler	0.347	0.529	0.531
fillet	0.415	0.378	0.745
filling	0.382	0.525	0.51
filly	0.564	0.519	0.479
film	0.491	0.566	0.823
filmmaker	0.51	0.635	0.704
filmy	0.51	0.425	0.583
filter	0.296	0.26	0.44
filth	0.592	0.319	0.194
filthy	0.714	0.321	0.115
filtration	0.52	0.255	0.407
fin	0.34	0.377	0.333
final	0.575	0.508	0.276
finale	0.33	0.468	0.406
finalist	0.686	0.736	0.833
finality	0.368	0.627	0.615
finalize	0.55	0.578	0.556
finalized	0.21	0.608	0.245
finally	0.433	0.465	0.583
finance	0.431	0.843	0.753
financial	0.5	0.722	0.667
financier	0.5	0.778	0.602
finch	0.444	0.358	0.438
find	0.555	0.58	0.774
finder	0.55	0.63	0.36
finding	0.469	0.664	0.796
fine	0.24	0.647	0.823
finery	0.479	0.636	0.562
finesse	0.387	0.412	0.74
finger	0.264	0.291	0.321
fingernail	0.415	0.153	0.418
fingerprint	0.404	0.57	0.583
fingerscrossed	0.54	0.356	0.573
finish	0.429	0.545	0.471
finished	0.387	0.57	0.51
finite	0.347	0.293	0.384
fink	0.514	0.439	0.41
fir	0.275	0.306	0.521
fire	0.804	0.635	0.38
firearm	0.943	0.864	0.086
firearms	0.943	0.821	0.22
fireball	0.777	0.664	0.302
firecracker	0.741	0.434	0.474
firefight	0.92	0.664	0.153
firefighter	0.77	0.773	0.637
firefly	0.41	0.363	0.622
firehouse	0.689	0.627	0.594
firelight	0.504	0.639	0.677
fireman	0.745	0.755	0.583
fireplace	0.38	0.417	0.667
firepower	0.941	0.81	0.375
fireproof	0.679	0.723	0.684
fireside	0.377	0.394	0.684
firestorm	0.929	0.766	0.18
firewall	0.602	0.629	0.485
firewood	0.348	0.263	0.52
firework	0.904	0.593	0.786
fireworks	0.863	0.579	0.735
firing	0.931	0.803	0.188
firm	0.38	0.728	0.635
firmament	0.407	0.66	0.75
firmly	0.51	0.777	0.786
firmness	0.479	0.939	0.823
first	0.5	0.788	0.625
firstborn	0.49	0.695	0.786
firstworldprobs	0.612	0.483	0.458
fiscal	0.582	0.845	0.5
fish	0.28	0.25	0.51
fisherman	0.461	0.546	0.656
fishery	0.503	0.519	0.574
fishing	0.283	0.405	0.677
fishing boat	0.403	0.627	0.521
fishy	0.601	0.471	0.224
fissile	0.49	0.38	0.333
fission	0.5	0.567	0.386
fissure	0.51	0.431	0.333
fist	0.686	0.481	0.333
fistfight	0.902	0.543	0.208
fistful	0.509	0.5	0.5
fistula	0.481	0.33	0.312
fit	0.45	0.632	0.604
fitness	0.529	0.81	0.875
fits	0.363	0.58	0.571
fitted	0.404	0.673	0.507
fitting	0.441	0.638	0.612
fittings	0.404	0.409	0.531
five	0.221	0.298	0.51
fiver	0.469	0.517	0.458
fix	0.538	0.519	0.76
fixable	0.47	0.645	0.724
fixation	0.459	0.655	0.562
fixed	0.167	0.509	0.684
fixer	0.375	0.606	0.633
fixture	0.216	0.409	0.663
fixtures	0.33	0.37	0.643
fizz	0.708	0.349	0.459
fjord	0.404	0.463	0.51
flabbergast	0.679	0.547	0.48
flabbergasted	0.802	0.342	0.312
flabby	0.358	0.25	0.292
flaccid	0.4	0.151	0.156
flag	0.378	0.536	0.592
flagging	0.519	0.509	0.521
flagpole	0.394	0.458	0.5
flagrant	0.673	0.455	0.286
flagship	0.587	0.703	0.592
flagstaff	0.517	0.5	0.52
flair	0.471	0.676	0.775
flak	0.6	0.6	0.39
flake	0.388	0.289	0.385
flaky	0.509	0.279	0.363
flamboyant	0.794	0.705	0.615
flame	0.574	0.615	0.448
flamethrower	0.882	0.683	0.16
flaming	0.645	0.558	0.406
flamingo	0.451	0.482	0.667
flammable	0.8	0.715	0.216
flan	0.304	0.198	0.604
flange	0.306	0.39	0.5
flank	0.458	0.443	0.448
flanked	0.431	0.368	0.333
flanking	0.622	0.519	0.49
flannel	0.25	0.327	0.49
flap	0.385	0.344	0.275
flapping	0.728	0.404	0.458
flare	0.823	0.508	0.558
flares	0.642	0.556	0.58
flaring	0.771	0.509	0.625
flash	0.59	0.657	0.571
flashback	0.4	0.485	0.265
flashing	0.574	0.438	0.604
flashlight	0.414	0.356	0.653
flashy	0.6	0.827	0.704
flask	0.412	0.454	0.418
flat	0.236	0.303	0.408
flatbed	0.25	0.38	0.49
flatfoot	0.333	0.33	0.265
flatness	0.28	0.527	0.479
flatten	0.469	0.442	0.286
flatter	0.418	0.302	0.521
flattered	0.608	0.708	0.865
flattering	0.686	0.5	0.755
flattery	0.575	0.404	0.47
flatulence	0.632	0.343	0.21
flaunt	0.611	0.525	0.438
flavor	0.479	0.392	0.885
flaw	0.491	0.175	0.319
flawed	0.49	0.194	0.133
flawless	0.42	0.741	0.729
flea	0.353	0.218	0.286
fleabag	0.557	0.348	0.271
fled	0.639	0.322	0.224
flee	0.796	0.232	0.292
fleece	0.25	0.381	0.561
fleet	0.43	0.623	0.547
fleeting	0.65	0.387	0.439
flesh	0.39	0.475	0.604
fleshy	0.518	0.406	0.5
flex	0.378	0.33	0.604
flexibility	0.402	0.472	0.867
flexible	0.46	0.465	0.719
flexin	0.559	0.366	0.552
flexion	0.551	0.418	0.449
flick	0.541	0.515	0.688
flicker	0.321	0.333	0.635
flickering	0.444	0.289	0.49
flier	0.49	0.652	0.541
flight	0.63	0.587	0.646
flighty	0.602	0.436	0.219
flimsy	0.396	0.189	0.302
flinch	0.804	0.555	0.35
fling	0.696	0.534	0.439
flint	0.439	0.536	0.521
flip	0.529	0.435	0.281
flip flop	0.519	0.321	0.417
flipper	0.42	0.415	0.677
flipping	0.551	0.345	0.553
flirt	0.79	0.538	0.792
flirtation	0.719	0.482	0.653
flirting	0.773	0.491	0.59
flirty	0.721	0.491	0.714
float	0.394	0.344	0.688
floater	0.433	0.37	0.48
flock	0.546	0.543	0.5
flog	0.52	0.382	0.408
flood	0.778	0.608	0.208
floor	0.23	0.25	0.43
flooring	0.235	0.346	0.562
floozy	0.477	0.43	0.41
flop	0.642	0.196	0.081
floppy	0.3	0.333	0.549
flora	0.324	0.567	0.833
floral	0.235	0.264	0.833
florist	0.41	0.388	0.771
floss	0.28	0.278	0.5
flotation	0.353	0.333	0.51
flounder	0.333	0.345	0.711
flour	0.235	0.239	0.53
flourish	0.573	0.601	0.939
flow	0.316	0.464	0.696
flower	0.189	0.254	0.802
flowering	0.627	0.5	0.906
flowers	0.324	0.33	0.875
flowery	0.332	0.446	0.792
flows	0.48	0.434	0.571
flu	0.547	0.25	0.23
fluctuate	0.617	0.48	0.285
fluctuating	0.591	0.395	0.292
fluctuation	0.75	0.519	0.347
flue	0.688	0.451	0.354
fluency	0.504	0.718	0.776
fluent	0.5	0.614	0.76
fluff	0.264	0.172	0.52
fluffy	0.431	0.356	0.781
fluid	0.407	0.589	0.673
fluidity	0.51	0.576	0.729
fluke	0.45	0.432	0.446
flunk	0.548	0.17	0.104
flunky	0.452	0.216	0.205
fluorescence	0.49	0.5	0.667
fluorescent	0.595	0.5	0.602
flurries	0.76	0.517	0.422
flurry	0.76	0.559	0.302
flush	0.755	0.589	0.408
flustered	0.903	0.283	0.316
flute	0.33	0.363	0.635
fluted	0.438	0.389	0.438
flutter	0.548	0.33	0.479
fluvial	0.363	0.588	0.571
flux	0.472	0.451	0.473
fly	0.775	0.676	0.76
flyboy	0.647	0.573	0.541
flyer	0.3	0.362	0.48
flying	0.606	0.696	0.877
flywheel	0.48	0.442	0.667
foal	0.578	0.482	0.542
foam	0.23	0.204	0.698
foaming	0.24	0.198	0.643
foamy	0.306	0.291	0.663
fob	0.402	0.396	0.327
focal	0.365	0.482	0.367
focus	0.382	0.648	0.69
fodder	0.358	0.43	0.316
foe	0.827	0.459	0.071
fog	0.213	0.26	0.51
foggy	0.337	0.302	0.354
foil	0.204	0.342	0.312
foiled	0.47	0.144	0.235
fold	0.412	0.33	0.385
folded	0.373	0.327	0.179
folder	0.279	0.375	0.49
foliage	0.373	0.237	0.62
folio	0.265	0.435	0.513
folk	0.433	0.432	0.663
folklore	0.585	0.449	0.755
follicle	0.331	0.436	0.406
follicular	0.305	0.391	0.401
follow	0.509	0.6	0.667
follower	0.488	0.461	0.646
folly	0.833	0.363	0.184
fond	0.602	0.518	0.885
fondle	0.485	0.355	0.823
fondling	0.564	0.5	0.794
fondness	0.391	0.503	0.885
fondue	0.363	0.35	0.656
font	0.336	0.576	0.615
food	0.324	0.527	0.888
foodie	0.465	0.484	0.781
fool	0.56	0.148	0.16
fooled	0.692	0.241	0.051
foolhardy	0.816	0.596	0.541
fooling	0.755	0.384	0.167
foolish	0.255	0.109	0.316
foolishness	0.472	0.173	0.235
foolproof	0.484	0.5	0.479
foot	0.29	0.254	0.49
foot stool	0.317	0.355	0.469
footage	0.235	0.364	0.625
football	0.76	0.582	0.755
footbridge	0.375	0.44	0.582
foothold	0.336	0.582	0.673
footing	0.346	0.464	0.76
footlocker	0.417	0.393	0.5
footloose	0.595	0.447	0.549
footpath	0.321	0.473	0.677
footprint	0.292	0.336	0.592
footwear	0.337	0.275	0.643
footwork	0.54	0.352	0.448
fop	0.561	0.328	0.281
forage	0.389	0.37	0.583
foray	0.618	0.676	0.418
forbearance	0.471	0.549	0.52
forbid	0.686	0.598	0.115
forbidding	0.781	0.5	0.198
force	0.75	0.905	0.612
forced	0.721	0.458	0.18
forceful	0.673	0.898	0.533
forceps	0.615	0.436	0.354
forces	0.686	0.886	0.551
forcibly	0.704	0.647	0.365
ford	0.34	0.382	0.521
fore	0.417	0.654	0.667
forearm	0.304	0.509	0.469
foreboding	0.706	0.636	0.439
forecast	0.419	0.698	0.783
forecaster	0.611	0.846	0.635
foreclose	0.582	0.56	0.22
foreclosure	0.651	0.5	0.167
forefathers	0.412	0.627	0.69
forefinger	0.254	0.37	0.51
forefront	0.559	0.811	0.573
forego	0.661	0.291	0.396
foregoing	0.346	0.324	0.42
foregone	0.567	0.235	0.271
foreground	0.491	0.59	0.708
forehead	0.308	0.556	0.47
foreign	0.681	0.385	0.573
foreigner	0.519	0.48	0.5
foreman	0.612	0.75	0.458
foremost	0.593	0.907	0.735
forensic	0.627	0.436	0.439
forensics	0.545	0.679	0.235
foreplay	0.627	0.474	0.724
forerunner	0.54	0.843	0.694
foresee	0.452	0.522	0.583
foreseen	0.361	0.562	0.566
foresight	0.482	0.64	0.68
forest	0.27	0.435	0.729
forestall	0.55	0.606	0.54
forethought	0.491	0.58	0.765
foreveralone	0.375	0.343	0.296
forevermore	0.425	0.614	0.843
forewarned	0.618	0.606	0.48
foreword	0.314	0.551	0.59
forfeit	0.635	0.245	0.083
forfeited	0.65	0.352	0.156
forfeiture	0.588	0.368	0.184
forge	0.424	0.686	0.52
forger	0.673	0.518	0.156
forgery	0.654	0.481	0.235
forget	0.382	0.209	0.312
forgetful	0.343	0.264	0.24
forgetfulness	0.385	0.302	0.271
forgive	0.408	0.562	0.781
forgiven	0.302	0.51	0.75
forgiveness	0.43	0.471	0.667
forgiving	0.317	0.556	0.885
forgotten	0.28	0.184	0.235
fork	0.3	0.529	0.406
forked	0.585	0.365	0.333
forking	0.596	0.49	0.327
