****Dialogues from script :Pianist.txt****

the pianist		 by Ronald Harwood  based on the published memoir by Wladyslaw Szpilman
margaret		Since I graduated college. Richard comes back with the lime.   Margaret takes it and doesn't say thank you.
richard		She's been there since she was nineteen.
geoffrey		Nineteen?   Wow.   That's how long?
margaret		Oh, who's counting... Geoffrey could let it go, but wants to push her.
geoffrey		No.   How many years is that?   Exactly. Margaret gives Geoffrey the slightest look.
margaret		Well, let me see.   That would be sixteen or seventeen years.   Exactly.
geoffrey		I was never good with big numbers.   That makes you... thirty six now?
margaret		Just turned thirty seven.   Born on May 20th. I'm a Taurus. Geoffrey and Margaret give each other a smile. MARGARET  I need some protein.
richard		There's some salmon. Margaret shakes her head no. RICHARD  Crab? Margaret nods yes.   Richard steps away to find a waiter. Geoffrey watches his son do Margaret's bidding.
geoffrey		Keep him on a short leash, huh?   Does he roll over when you whistle? Debbie hits Geoffrey.
debbie		He's just being a good host. Richard comes right back with a waiter in tow.   For Geoffrey's benefit, Margaret makes a point to thank Richard.
margaret		Thank you, honey.   You're being so sweet. Richard is surprised, but remembers they're a couple.
richard		Uh, sure.   Honey.
margaret		I'm editor in chief, now. Richard tenderly puts his arm around Margaret.
richard		Gert!? Richard snaps his arm back, hitting Margaret in the head, and spilling her tonic water on her shirt.   He doesn't notice what he's done, and leaves Margaret.   She's peeved. RICHARD 
gertrude		Your dad made me come.
richard		From Chicago? Gertrude laughs.   The group watches these two see each for the first time in years.   There is instant chemistry, and Richard has forgotten about Margaret completely.
gertrude		No.   I live here now.
richard		You what?
gertrude		I moved back about six months ago.   I'm teaching second grade.   At Baranof.
richard		Did your husband move up here too?
gertrude		Uh, no.   I, ah, got divorced.
richard		Oh my God.   I'm sorry.
gertrude		Me too.   But hey, we're being rude, I wanna meet the bride. Gertrude leaves Richard and goes to Margaret.
margaret		You're a Gertrude?
gertrude		A family name from hell.
margaret		I'm sure it's been a curse.
geoffrey		Gert and Richard were quite the item in high school. Gertrude instantly dismisses Geoffrey's reminiscence.
gertrude		Oh Please.   Ancient history.
geoffrey		Feels like yesterday to me.
gertrude		 So tell me everything.   I hear it wasn't exactly love at first sight?
margaret		Not exactly...
grandma annie		Now Richard, what I want to know is how you proposed. This grabs the group's full attention.   Everyone loves to hear a story like this.
richard		Well... Richard hasn't recovered from seeing Gertrude. RICHARD  Uh, uh, um, I...
geoffrey		Yeah.   How did you pop the question? Richard is a deer in the headlights.   This is getting ugly. Margaret sees that Richard is going to crumble, and steps in.
margaret		Can I tell this one, honey?
richard		Uh.   Sure.
margaret		I'm an early, early riser and go for a run everyday.   Well, it was our six month anniversary and I was out for my normal jog in the park, when who do I see in a horse drawn carriage, wearing a tux, and waiting for me halfway through my run?   Richard!   So I ran up to the carriage and asked him what was going on, and he put his finger to his lips and says, "shhhh."   So there I am in my jogging clothes, next to the most handsome mute in the world - have you seen him in a tux? - riding like a sweaty princess and smiling ear to ear.   Couple minutes later, we arrive at Tavern on the Green.   Best part, we're the only people in the place because Richard got them to open up early. Well, we go to our table, sit down, and just as the sun starts to peek above the trees, this beautiful man gets down on one knee, and says "I didn't want one more sunrise to go by without you knowing that you are the light of my life, and that I would be the luckiest man in the world if you would be my wife.   Margaret Mary Mills, will you marry me?" The group is silent, waiting for the clincher. MARGARET  I said yes. The group gives a collective "ahh".   Grandma Annie takes both Margaret and Richard by the hand.
grandma annie		You are a good boy Richard, and you make me very proud.   I love you Richy.
richard		I love you too, Grandma. Grandma hugs the couple.   Everyone smiles except Geoffrey and Gertrude.
geoffrey		So did this happen before or after the INS agent came sniffing around?
debbie		What is wrong with you?   I'm sorry Margaret. Margaret doesn't miss a beat.
margaret		Oh please.   I'd wonder too.   Honestly, my lawyers have been dealing with all of this. When you told us at the airport it was the first time I'd heard about it.   I'm so embarrassed.
debbie		Don't be, dear.   Geoffrey's just an ass. While Debbie apologizes, Margaret gives Richard a little wink that says "I've got this under control".   The moment is interrupted when Richard pulls out a RINGING CELL PHONE.   He takes a step back and answers quietly so no one can hear.
richard		Margaret Mill's phone.  It's our friend, Frank. Richard's tone let's Margaret know there's a problem.
margaret		Excuse me, I'll just be a second. Margaret takes the phone and exits out French glass doors that lead to the backyard.   She leaves the door open, and doesn't notice Balzac follow her outside.
margaret		Don't be a cliche, Frank.   Don't be the wishy washy writer who changes his mind every two seconds. Margaret notices Balzac, but ignores him.   The dog starts YAPPING to get attention.   She walks away, but Balzac continues barking. Annoyed, she gets down face to face with the puppy and puts the phone against her chest so Frank doesn't hear. MARGARET  Sit and be quiet! Balzac sits and pouts.   Margaret walks away and puts the phone back to her ear.
debbie		Where's Margaret?   We need to go.
richard		Go where?
debbie		It's a surprise.   Girls are going into town. And the boys stay here.   I told you, we've planned everything.
richard		Um.   She's outside. Debbie and Richard turn around and look out a picture window. They see Margaret running with Balzac above her head.
debbie		Oh that's sweet, she's playing with my Balzac.
margaret		This is a delicious dog, Mr. Eagle.   C'mon, bring back the phone. Richard calls out from the house.
richard		What are you doing?
margaret		The eagle took my phone!
richard		Are you drunk?
margaret		Your dad was right!   The eagle tried to take the dog, so I saved it, then it came back and took my phone.
richard		Did the dingo eat your baby, too?
margaret		Frank's going to call me on that phone.   I need it!
richard		Relax.   I've got your information backed up on the laptop.   I'll just get you a new phone and switch the number.   No problem.
margaret		Oh.
richard		Now come on.   You're going somewhere with my mom and the girls.
margaret		I'm not going anywhere.
richard		You want a new phone?   You're going.
debbie		Work it Hank!
gertrude		Is that a salmon down your pants? The room laughs as Hank works his crotch millimeters away from Margaret's face.   Margaret remains straight faced.
margaret		Definitely not a salmon. The women encourage Hank on as he moves Margaret's hands to his wiggling ass and gives her a feel.   She can't help but give and embarrassed smile.   Finally, the song ends and Hank goes into the splits.   Thrilled, the room gives him a standing ovation. Margaret plays along and gives Hank a kiss on the cheek.   She begins to get off the stage, but Hank takes her by the hand.
hank		Ah, ah, ah.   I was just the warm up. Hank sits Margaret down, and blindfolds her with a scarf.
margaret		What's going on?
grandma annie		Just sit there dear.
mc		Don't be shy ladies, tip well and often, show Hank how much you appreciate his assets!   And now... Ramone! The room goes silent as a middle aged RAMONE comes on to the stage.   He has a pot belly, threadbare thong and a thin mustache. Ramone's dance has a Latin theme to it, and he's very good at it. Margaret is oblivious.
margaret		What's that smell? Margaret finally takes off her blindfold, and finds Ramone about an inch away from her face. MARGARET  Ahhh!!! Margaret falls out of her chair and her scream frightens Ramone. After the initial scare he composes himself and wags his finger at her naughty behavior.
