****Dialogues from script :TRON.txt****

fourth draft screenplay by		Charlie Haas April 6, 1981 BLACKNESS
lady penelope		One tries so hard in life to sort things out on an intellectual-slash-conversational level.
parker		 Shall I bring the car around, milady?
lady penelope		Parker, have a bit of a lie-down.
parker		 Excuse me, milady. (punches him and after that has no
the hood		Ah, Lady Penelope! Of course he has his palace. Why not his princess?
lady penelope		Flattery will get you nowhere. (after she blocks the metal bar that Transom was trying
parker		 Coming through, milady.
parker		 Duck, milady!
alan		He's weak. Using his power makes him weak. (The Hood, having heard something looks over
the hood		You're formidable opponent Lady Penelope. More than a match for most men.
lady penelope		That's not saying much, then, is it?
the hood		 I suggest you
lady penelope		Don't try your parlor games on me you sad, little man. You've committed a serious
the hood		 How are you, Alan? (he uses his powers on Parker and Lady
parker		Really, sir, don't mind me. This isn't the first time my head's been pulverized. And it's never
alan		 Stop! Stop! I'll give it to you. (throws the guidance processor
the hood		You made a match of it, Alan, I'll give you that.  Put them with the
mullion		 You're coming with me. (Grabs Alan's arms and throws Lady
lady penelope		Put me down! This outfit is couture.
jeff		Don't go to sleep. John, look at me. Keep your eyes open.
mullion		You need to cool off, milady.
tintin		Lady Penelope!
lady penelope		 Right, that's quite
alan		 So, how does it feel to be right all the time?
fermat		Not b-bad, actually.
alan		I'm so sorry, Fermat.
fermat		We make quite a pair. It's hard for me to t-t-talk. It's hard for you to l-l-listen.
lady penelope		Parker, I have an idea.
parker		Excellent, milady.
lady penelope		Brains, how long do Jeff and the boys have?
brains		I can't think. I'm too c-c-cold.
transom		The guidance processor has been installed.
transom		Thunderbird 2 is ready for takeoff.
the hood		What is our ETA?
mullion		Under an hour. Bank of London, here we come!
alan		We've got to be quick. The Hood's getting away.
parker		In position, milady.
lady penelope		Here we go.
alan		Yes!
parker		Good shot, milady.
lady penelope		 Come on, Parker. Let's give the bad guys a good
parker		 This seems to be a six-lever mortise, milady.
lady penelope		I love it when your checkered past comes in handy Parker.
parker		Thank you, milady. Unfortunately, I fear I shall need a piece of wire to access the mechanism.
lady penelope		Will this suffice, Parker?
parker		Most certainly, milady.
lady penelope		I didn't actually need it, anyway.
parker		Of course not, milady. 
fermat		Quick! They're getting away
alan		Okay, everyone get to the control room.
fermat		 Hat.
fermat		Get in there quick, Fermat, and save my family. Then we'll get The Hood. Good luck!
fermat		Looks like they slipped a backdoor key into the access codes.
brains		I'll follow your lead, son.
lady penelope		 Thunderbird 5 come in.
alan		How long have they got before re-entry?
fermat		90 seconds and counting
fermat		I'm in!
alan		Good job, Fermat.
fermat		Okay, I just need someone on their end to confirm the access protocol.'
brains		Thunderbird 5 come in.
alan		Dad, come on are we coming through?
brains		Mr. Tracy, can you hear me? Come in.
lady penelope		Thunderbird 5 come in.
alan		Dad, come on!
brains		Mr. Tracy, can you hear me? Come in.
alan		Dad!
brains		Thunderbird 5 come in.
alan		How long have they got?
fermat		45 seconds until re-entry.
brains		Damn it, Jeff! Wake up!
jeff		I think that's the first time you've ever called me by my first name, Brains. Thanks for waking me.
alan		Dad!
jeff		Alan! Well done.
fermat		Mr. Tracy, confirm access protocol.
john		Confirmed. We are back online.
brains		Gravity is restored. Put Thunderbird f-f- your craft into geostational orbit immediately.
jeff		FAB, Brains.
jeff		Looks like we're good to go.
alan		Dad, are you all right?
jeff		We're fine. We still have a job to do. Where's The Hood?
brains		He's in Thunderbird 2 Mr. Tracy headed for L-L-L
lady penelope		London.
brains		She's right.
alan		He's got the Mole on board.
john		Looks like Thunderbird 3 lost a booster, Dad. We'll never get there in time.
alan		Let me go after The Hood. He'll destroy everything you've built everything the Thunderbirds stand
jeff		Negative. I'm sorry it's too risky.
alan		I can do this. You know I can. What am I saying?  We
jeff		Okay, Alan. We'll meet you there. Thunderbirds are go!
alan		FAB.
jeff		 Okay, boys, we are outta here.
tintin		Are we really going?
alan		Yep.
tintin		Oh, boy!
alan		You ready, Fermat?
fermat		N-n- I guess!
fermat		Flight controls are green.  FEMALE COPUTER VOICE Anti-detection shield activated
fermat		Hydraulic systems are good.
alan		Right. Set primary fuel pumps. Main engine start.
lady penelope		 Don't boys just love their toys?
lady penelope		And off we go!
bridge worker		Get the bridge up! Get the bridge up!
brains		Thunderbird 1 come in.
alan		Roger, Brains.
brains		Situation update, Thunderbird 3 is about to initiate separation.
lady penelope		Boys, Thunderbird 2 is in final approach to London.
alan		I know The Hood's weakness, Fermat. I can stop him if we get there in time.
fermat		Stand by. We're going to maximum thrust.
all		Whoaaaa!
jeff		Gordon, heat 'em up.
chuck		We're getting reports of some kind of incident in London involving the Thunderbirds. Lisa, are
lisa lowe		Chuck, I'm here in Jubilee Gardens where Thunderbird 2 has made an impromptu landing,
the hood		Set a course for the vault.
transom		Sir, if we continue on our present course, we'll sever the monorail's subterranean supports.
the hood		Stay on course.
transom		But sir, we'll cause a major disaster.
the hood		No, we won't. The Thunderbirds will.
lady penelope		Let's get her down, boys.
alan		Initiate landing, Fermat.
fermat		Right.
fermat		FAB.
fermat		You're going too fast.
lady penelope		Textbook, boys.
transom		Activating electromagnetic pulse to disable the bank's security systems.
mullion		ETA, one minute.
lady penelope		Parker, meet me at the Bank of London.
parker		Yes, milady.'
jeff		Ride it out, boys! 
alan		The Hood's getting away.
tintin		Those people can't hold on much longer.
fermat		What are we gonna do, Alan?
alan		We're the Thunderbirds. Our duty is to save those people. Brains, we're going into the accident
brains		FAB, Thunderbird 2 and good luck.
alan		Brains, the monorail is down. Repeat, the monorail is down. I'm going underwater in
fermat		Me?! Fly alone?!
alan		Fermat, the Thunderbirds need you right now. I need you.
fermat		FAB, Alan. 
jeff		Brains, come in, what's the situation?
brains		The Hood has caused a disaster with the Mole mono-mono-mono- one-track railway is down in
jeff		Where's Thunderbird 1?
brains		It's on the ground. The k-k-kids are
jeff		FAB. We're right behind 'em.
mullion		Look at all this gold!
the hood		Stay focused, Mullion. Nine more banks to go.
alan		Fermat, deploying Thunderbird 4 in three, two, one, Thunderbird 4 is go. I can see the monorail.
alan		Don't panic, guys.
alan		Fermat, I'll hold the monorail in place. Can you get a line on that stanchion and lift it up?
fermat		I can't get a clear fix on the target. I might hit the passengers.
tintin		I'll go and fix it myself.
fermat		What you mean swim?!
tintin		Get me as close as you can.
alan		How are we doing on that line Fermat?
fermat		Just look out your window.
fermat		Come on, Tintin, come on!
alan		Come on. Come on, Tintin. You can do this. (Tintin successfully connects the rope to the
alan		OK, Fermat, we need a lift.
fermat		FAB, Alan. Commencing reverse thrust.
alan		That was amazing, Tintin.
tintin		Thank you.
alan		Nice job, Fermat.
fermat		Nothing to it, really.
alan		 Easy does it.
scott		There they are! 
alan		 Glad you could finally join us.
jeff		Hey don't get cocky after one mission. We still have a dangerous situation. I need you boys to
virgil		Okay let's clean it up guys.
jeff		We got to get to the Bank of London fast.
alan		Lady Penelope went after The Hood.
jeff		I know, she may need help.
the hood		Ashes to ashes, diamonds to diamonds. Lady Penelope. What an unpleasant surprise.
lady penelope		Don't be rude. I can't tell you what a pleasure it would be to use my little finger to pull
the hood		Mullion. 
lady penelope		That's not cricket.
the hood		I'm sorry. The only part of sport I ever liked was winning.
lady penelope		How ghastly.
alan		Hey, Dad. That stuff The Hood said, about you leaving him to die. He was lying, right?
jeff		No. See, you can't save everyone, Alan. It doesn't matter how hard you try or how brave you are.
alan		What was Mom like?
jeff		She was a lot like you. Come on, we've got a job to do.
the hood		Finish her off, Mullion.
lady penelope		Shame on you. I always despise a man who delegates the important jobs. (sees the
jeff		Good timing, Parker.
parker		Good afternoon Mr. Tracy.
jeff		Come with us.
parker		My pleasure, Mr. Tracy.
the hood		The Thunderbirds. They're here. Kill them all.
jeff		Alan, you guys stay here with Parker. I'm gonna go find Lady Penelope.
alan		But what about The Hood?  Look out, Parker! (When Parker turns
parker		Master Tracy!
fermat		Look out, Parker!
parker		Alright, that's enough of that.
mullion		 Don't move. (Parker motions for the kids to run forward but Transom
transom		Go on, then.
parker		No, sorry. I can't hit a lady.
tintin		Allow me. 
mullion		 I've been waiting to get my hands on you brats.
parker		And I've been waiting to get my hands on you.
parker		Ow, now that was a punch.
fermat		Parker, can we wrap this up?
parker		What did you have in mind, Master Hackenbacker?
fermat		Strategically speaking, the best odds of success lie with the Parker Haymaker.
parker		I concur. 
jeff		Penny!
penny		Jeff, no!
the hood		Did you save them all this time, Jeff? Or did you leave someone behind?
jeff		I didn't make you what you are.
the hood		It's not me you have to convince. (motions his head toward the entrance of the room
jeff		Leave my son out of this- (the Hood uses his powers to throw Jeff into the cage that Lady
lady penelope		Jeff!
alan		Dad!  Dad! Dad!
the hood		I'm disappointed in you, Alan. I thought we were kindred spirits.
alan		Well, we're not. I'm Jeff Tracy's son.
the hood		You certainly are. 
jeff		No!
lady penelope		Alan no! (The Hood uses his powers to throw Alan off to the side where he slams
jeff		Alan!
transom		Come here, you little minx! (Tintin jumps up on a bar and flips to the other side while
tintin		 Bye-bye.
jeff		Alan, stay back.
the hood		You want so desperately to walk in Daddy's footsteps. (uses his powers to lift Alan off the
jeff		Let him go.
the hood		Did you really think you could challenge me?
jeff		Let him go, please.
lady penelope		Let him go.
jeff		Please! Let him go! 
lady penelope		Alan! Are you all right?
jeff		Alan, get out. Run!
alan		He's getting weaker. He can't last much longer.
jeff		Neither can you!  Alan, no! Look out! (The
the hood		I'm glad you could be here to see this, Jeff. (steps on one of Alan's hands until he cries in
the hood		Goodbye, Alan! 
tintin		No!
the hood		Ah,  Oh!
the hood		Leave me, Alan. Leave me to die.  Like your father did.
alan		I don't want to save your life.  But it's what we
the hood		See you soon, Jeff.
parker		 Now, that was definitely showing off.
virgil		Hey, Scott.
scott		Get him!
lady penelope		 What did you put in these margaritas?
