****Dialogues from script :White_Squall.txt****

minister		I didn't know Richard Sheldrake personally, but his many friends who knew and worked with him, wanted to make sure that he was returned home, here, to be remembered with his beloved wife...
willow		I hope she's all right.  How much more do I have to do of this?
raziel		Till it's in a powder.  The energy exits within you...
willow		 I know, and the magician's goal is to find his true self.  But what's this got to do with it?
raziel		As below, so above.  You hold the univers, Willow, in your hand.
madmartigan		I'm beginning to think you two *deserve* to be locked up.
willow		The universe is a living creature, like you and me, Madmartigan.
madmartigan		We're a tiny version of all that?
raziel		As above, so below.
willow		I'm all finished.  Now what?
raziel		Burn it to a fine ash.
willow		How am I gonna do that?
raziel		Patience.  Concentrate.  You will find a way.
willow		What's going on?
madmartigan		Hurt him and you'll answer to me!
sorsha		This baby won't do what I say.  You seem to know what to do.  Here! Make it shut up.
willow		She needs to be changed.
sorsha		I changed her already!
willow		She needs to be changed again. Sorsha crosses her arms in a hugg and watches as Willow changes the baby.  Soon the baby stops crying.  Re- lieved yet still anxious, Sorsha paces to a mirror. Willow rocks the baby gently, absently looking at the fire.  Then his eyes focus on the fire.
sorsha		Who is that horrible friend of yours?
willow		 Madmartigan.
sorsha		Who is he?
willow		I don't know much about him.
sorsha		He's very bold.  Do you really think my hair is beautiful?
willow		Uh, yes.  It's very nice hair.
willow		She's hungry.
sorsha		I know she's hungry.  I tried to feed her but she wouldn't eat a thing.  I'm not a wet nurse.
willow		Here.  Hold her.
sorsha		I tried everything.  A spoon.  I poured milk into her mouth, she just spat it out.  I don't know what to do, I'm not a mother.
willow		Sometimes she likes it heated.
willow		She's a good baby.
willow		I did it!  I got the ashes!
raziel		Good!  The first step is complete.
madmartigan		Did she ask about me?
willow		Who?
madmartigan		Come on, Peck, don't give me a hard time.  You were in her ten all night.  Did she say anything?
willow		She said lots of thing.s
madmartigan		Willow!
willow		She asked about you, Madmartigan.
madmartigan		Well what did she say?
sorsha		Here.  You're going to need these where we're going.
madmartigan		She's in love.
willow		You're crazy.  I think you're in love.
raziel		We don't have much time left!  Go on!  Go on!
willow		I must concetrate my imagination...to creat a new...reality!
raziel		What's the magician's weapon?
willow		The limitless power of...
raziel		Your will!  Your will!  What else could it be?
willow		 I can't remember all these things. What am I learning?
raziel		The art of transformation!
willow		 But what am I gonna transform??
raziel		Me!
willow		You?
madmartigan		What are you gonna become, Raziel? Queen of the rodents?
sorsha		The baby's cold.  Take her.
raziel		You remind me of your father, Sor- sha.
sorsha		My father was a weakling.
raziel		He was a great king.  Not like your step-father, not like your mother.  He ruled Tir Asleen with kindness, and a generous heart.
sorsha		My mother calls that weakness.
madmartigan		What do *you* call it?
sorsha		I do what I'm told.
madmartigan		Too bad you're not more like your father.
sorsha		Be careful.
kael		Don't tell me what to do.
madmartigan		We gotta get the baby out of here.
raziel		Tonight!  Complete the philosopher's stone!  I must be turned back!
willow		I'll do it, Raziel...
raziel		Let it settle.  Carefully, slowly. Concentration and will.  Now pour the water off.
willow		Oooh, this smells terrible.
raziel		That's the life spark.  Exxence of magic and sorcery!
willow		Ouch!!
raziel		Shhhhh!
willow		What'd you bit me for!!
raziel		We need blood.  To nourish the stone.  charge the stone with ener- gy.
raziel		The components of the stone are fusing...
raziel		Again:  what is the magician's weapon?
willow		His will.
raziel		Now use it.
willow		I just wanted to test it first.
raziel		No!  Change me back into a sor- ceress, Willow.
willow		Avaggdu, supriom, luwatha...
willow		What did I do?
madmartigan		Not bad, Peck.  I'm impressed.  You busted the lock.
willow		Madmartigan.  Let's go.  Let's get Eloran Danan.
madmartigan		Let's get Elora Danan.
raziel		Wait!  What about me!
madmartigan		You're a magician, Willow.  But I'm a thief.  Wait here.  I'll get the baby.
raziel		I'm supposed to be a beautiful wo= man.
willow		 Come on, Madmartigan...!
willow		What are you doing?  Get out of there...!
madmartigan		I love you.
sorsha		One move, and you really will be a woman.
sorsha		You're a fool.  Now put her back.
madmartigan		I'm not going to let this baby die.
sorsha		Don't make me kill you.
madmartigan		I believe you would...
sorsha		Why did you say that?
madmartigan		Say what?
sorsha		I love you.
madmartigan		Because it's true.
sorsha		I don't believe you.
madmartigan		I wish it weren't true.  I swore I'd never let this happen.  I hate you.  I hate your beauty, I hate your innocence, I hate the feelings you've awakened in me.
madmartigan		I'm in love with you, Sorsha.  I don't want to be, but a power has enchanted me and I stand helpless against it.  It's torture.  Battle- field or prison cell was never half as cruel.
madmartigan		I want you and I can't have you so I want you all the more.  If this were another time and another place I'd--
sorsha		You'd what?
kael		What's going on here!!
sorsha		Deceiver!!
madmartigan		Whoops!
madmartigan		Willow!  Jump on the shiled!
kael		Bowmen!  Horses!  After them!
madmartigan		Sorsha!  I didn't betray you.  I love you!
kael		Kill them!!
willow		Nooo!!!
madmartigan		Willow!  Willow!  Are you all right?
villager		King Kael!
another villager		Nockmaar troops!
madmartigan		 Help us.
airk		Madmartigan.  Settled down with a family huh?
madmartigan		You left me to die, friend.
airk		You managed alright.
madmartigan		Is this what's left of your army?
officer		Keep that baby quiet.
kael		Where is it!  Tell us or we'll burn your village!  Sorsha!
officer		Kill her.
madmartigan		You'll draw the others.
airk		It's you they're after, Madmarti- gan.  What did you do this time?
madmartigan		They're not after me.  They want the baby.
airk		Who is this baby?
willow		The princess, Elora Danan.
people		The prophecy has come true.
airk		Give her to us.  We'll protect her.
raziel		Not safe!  Not safe!
willow		We're taking her to Tir Asleen. She'll be safe there from Bavmorda's powers.
airk		Tir Asleen is a myth.  It doesn't exist.
raziel		It does!  It does!  I will show you!
airk		You gonna be a hero, Madmartigan? I've lost half my men fighting Kael, and Bavmorda, and the Nock- maar army.  Now you and this Peck, and that magpie up in the rafters, are gonna take 'em on alone?
madmartigan		 Then come with us.
airk		The war is here!  In towns and vil- lages like this!
airk		You're chasing a dream.
madmartigan		Just get me some horses.
madmartigan		Once again, Airk, we say goodbye.
airk		One day one of us willl stand on the other's grave.
raziel		Nockmaar!  Nockmaar!
raziel		This way!  The cave!
willow		Madmartigan!  I can't stand being in closed-in places.
madmartigan		Want me to carry Elora?
willow		I'm used to her.  How's she doing?
madmartigan		She's doing a lot better than we are, Peck.
madmartigan		Willow...this may be a bad time to ask this question but...what if Raziel's wrong?
willow		She can't be wrong.  She's a very very very powerful sorceress.
madmartigan		She's a bird, Willow.
willow		That's my fault, not hers.  I've got to keep practicing.  I'm still in the learning stage but magic, Madmartigan, requires concentration and--
madmartigan		Watch it!
willow		Ahhh!
willow		I hate this.
madmartigan		Go, Willow!  Run!  Run!
madmartigan		Willow!  Willow!
kael		Go after them!
madmartigan		Hurry, Willow!  Throw it!
raziel		Look out!
kael		After them!!
raziel		Tir Asleen.
willow		There's nobody here.
raziel		The Knights of the Pacalcade.  The king's bravest warriors.
raziel		Turn them back, Willow!
willow		How??
raziel		Use the philosopher's stone!  Hur- ry!  Invocation!  Release them!
willow		Beings within, beings without! Danu danu walkail funfawtha!
willow		I did it!  Madmartigan!  Come here! Look!  You gotta see this!  I did it!
raziel		More!  More!
kael		Assault!  Scale the walls!
willow		Tuatha tuatha danu!
willow		Raziel!  I transformed them all! I'm a magician!
raziel		You didn't transform them, Willow, you released them.  That was noth- ing.  Now change me.
willow		I feel like I could do anything!
knight		It belonged to our king.
willow		Capture the enery...limitless power of the will...avvdachh doth indicht rredd baerkinhaekin!
willow		Raziel?  Is that you?  Oh-oh.  What happened?
raziel		I hate this.
kael		Attack!!
madmartigan		Sorsha.
sorsha		Madmartigan.
madmartigan		Whose side are you on?
sorsha		Yours.
minion		Arrrggghhh!
sorsha		I love you.
kael		Sorsha!!
kael		Bordak!
kael		Kill them both!
kael		Troops!  To Nockmaar!  Ride with me!
willow		I'm sorry.  There were too many of them.
madmartigan		Out for a little ride in the coun- try, Airk?
airk		Thought you might get lonely, Mad- martigan!
madmartigan		Thank you, friend.
airk		Let's go.
madmartigan		Sorsha!  Any way in there?
sorsha		No.  The fortress is protected on all sides.
airk		Make camp!  We'll assault at dawn.
bavmorda		Kael!
kael		Queen Bavmorda.  I have the child.
bavmorda		We must start the ritual!
bavmorda		Who is that?
kael		An army of rebels and traitors.
bavmorda		Where is Sorsha?
kael		She has turned against you.
bavmorda		Purify the altar!  Arrange the im- plements!  I'll deal with Sorsha!
bavmorda		This is not an army!
raziel		Willow!  Get out of here!  Quick! Hide!
raziel		Get down!  The ritual chant! Quick!  Protect yourself!
willow		Why?
raziel		Just do it!
madmartigan		We've come for Elora Danan!  Turn her over to us!
bavmorda		You dare to challenge me?  You are not warriors.  You're pigs!
bavmorda		You're all pigs!
sorsha		Mother!  No!!
bavmorda		You made your decision!
bavmorda		Begin the ritual.  Now!  Light the first candle.
bavmorda		Come, thunder.  Come lightning. Touch this altar with your pwer. Come into my tower...
bavmorda		Dark runes, dark powers!  Blend and bind, bind and blend, Universal night!  And the might of Nockmaar!
raziel		It's over, Willow.  You did well. You protected yourself.
willow		I've come all this way and now Elora Dana's going to die!
raziel		No!  I can still defeat Bavmorda!
willow		She's too powerful, Raziel
raziel		A true magician, Willow, never surrenders.  She is a sorceress--I am a sorceress!  Transform me now and I will destroy her!  Hexagram!
willow		Banish all disturbing forces from this place.  Fire, water, above and below.  Balance.  Balance.  Bal- ance.
raziel		 Don't give up!  Willow!
willow		Raziel!
raziel		We've got a lot of work to do, Wil- low.  Bring in our brave men.
