****Dialogues from script :Kung_Fu_Panda.txt****

final draft		June 3, 2008
laura		I wonder why.  I brought you this. It's a throw rug.
sebastian		Don't need it.
laura		Yeah? What if I told you Miles Davis pissed on it?
sebastian		That's almost insulting...  Did he?
laura		When are you going to unpack these boxes?
sebastian		When I unpack them in my club.
laura		Oh my God. It's like a girl broke up with you and you're stalking her.  You're not still going by there, are you?
sebastian		No.
laura		Seb --
sebastian		Who wants to tapas while they samba?
laura		I have someone I want you to meet.
sebastian		I don't want to meet anyone.
laura		You'll like her.
sebastian		Uh-huh. Does she like jazz?
laura		Probably not.
sebastian		Then what are we gonna talk about?
laura		You'll talk about the weather.
sebastian		Ok. Then I have someone I'd like you to meet. He's got a face tattoo, but a heart of gold.
laura		Sebastian --
sebastian		How long's it been?
laura		You need to get serious. You live like a hermit. You're driving without insurance.
sebastian		I am serious. I had a very serious plan for my future. It's not my fault I got Shanghai'ed.
laura		You did not get "Shanghai'ed", you got ripped off.
sebastian		What's the difference?
laura		It's not as romantic as that.  And everyone knew that guy was shady except for you.
sebastian		Why do you say romantic like it's a dirty word?
laura		Unpaid bills are not romantic. Call her.
sebastian		You're acting like life's got me on the ropes -- what you don't understand is, I want to be on the ropes. I'm letting life hit me `til it gets tired. Then I'm gonna make my move. It's a classic rope-a-dope.
laura		I love you. Unpack your boxes.
sebastian		I'm changing the locks.
laura		 You can't afford it.
sebastian		I'm a phoenix rising from the ashes!
boss		Seb.
sebastian		 Bill. Thanks for having me back.
boss		Your welcome. Stick to the set list.
sebastian		Of course.  Though I don't think they care what I play.
boss		I do, and I don't want to hear the free jazz.
sebastian		How `bout one for you, one for me? Or two for you, one for me?  Or all for you, none for me? Ok, that works. Good deal.
waitress		Well... Welcome back.
sebastian		There's a nice way to say that.
boss		...every goddamned night.
sebastian		I'll stick to the set list, I promise --
boss		Too late. You're done.
sebastian		You're not gonna find a better player. You know that.
boss		 Do you think anyone here gives a shit?
mia		I just wanted to say -- I saw your playing, and I --
mia		No, Jamal. You be trippin'.
tracy		There you are! You need to meet someone! Carlo, this is Mia. Mia, Carlo's a writer.
carlo		 They say I have a knack for world-building.
mia		 Congratulations. I have to grab a drink...
singer		Alright, one more for y'all before we break. Do I hear any requests?
mia		"I Ran".
singer		"I Ran" it is.  Wanna start us off, piano-man?
sebastian		Ok. I remember you.
mia		"Curt"?
sebastian		Ok I was an asshole. I can admit that.
mia		Ok.
sebastian		But requesting "I Ran" from a serious musician -- it's too far.
mia		My God. Did you just call yourself "a serious musician"?
sebastian		 I don't think so.
mia		Can I borrow what you're wearing?
sebastian		Why?
mia		Because I have an audition next week. I'm playing a serious fire-fighter.
sebastian		 So you're an actress. That makes sense. Have I seen you in anything?
mia		Uh... The coffee shop on the Warner Brothers lot. That's a classic.
sebastian		Oh, you're a barista. Well now I see how you can look down on me from all the way up there.
singer		 Sebastian. Second set.
sebastian		He doesn't tell me what to do.
mia		He just told you what to do.
sebastian		I let him.
mia		Mia.
sebastian		Mia. Guess I'll see you in the movies.
singer		Never seen you lookin' so lovely as you did tonight...
carlo		...Goldilocks from the point of view of the bears. Home-invasion thriller. Fox and Warners are going crazy for it.
mia		 George Michael!
sebastian		You again.
mia		Did you just get your keys?
sebastian		...Yeah.
mia		Can you grab mine?
sebastian		...Which one is it?
mia		The Prius.
sebastian		Those look comfortable.
mia		They are...n't.
sebastian		You didn't give me much of a choice.
mia		Strange that we keep running into each other.
sebastian		It is strange. Maybe it means something.
mia		I doubt it.
sebastian		Yeah I don't think so either.
mia		What?
sebastian		It turns your head into an antenna. Probably gives you cancer, but you find your car more quickly.
mia		Uh-huh.
sebastian		You don't live as long, but you get things done faster, so it all evens out.
mia		Oh my God.
sebastian		Not much to look at.
mia		Agreed. I've seen better.
sebastian		No, that's fine... Thanks...
mia		...Ok...
customer		Are these pastries gluten-free?
mia		No...
customer		What?? I want a refund.
manager		You're closing up Friday.
mia		I have an audition. Remember?
manager		Do I look like I care? Reschedule it.
mia		But you said --
manager		And fix your apron.
mia		...Hi.  What are you doing here?
sebastian		Meetings. Studio heads.
mia		Uh-huh. How'd you get on the lot?
sebastian		Piece of cake.
mia		I'm off in ten.
sebastian		Great. I'll hide in the bathroom.
mia		That's the window Ingrid Bergman and Humphrey Bogart looked out of in Casablanca.
sebastian		What's your Bogart's name...?  Is it Greg?
mia		Yeah. Greg.
sebastian		How long have...?
mia		We've been seeing each other for a few months.
sebastian		I know what you mean. I get breakfast five miles out of the way just to sit outside a jazz club.
mia		Oh yeah?
sebastian		It was called Van Beek. The swing bands played there. Count Basie. Chick Webb.  It's a samba-tapas place now.
mia		A what?
sebastian		Samba-tapas. It's... Exactly. The joke's on history.
mia		 We need to wait here.
sebastian		I know. They shoot movies on my street. "C-stands." "Apple box." "Don't forget to sign out."
sebastian		How'd you get into all this?
mia		Into...? Oh -- I -- my aunt was an actress. She was in this traveling theater company... And there was this little library across the street from my house when I was growing up. This was Boulder City, Nevada -- every house looked exactly the same. I was ten and already I needed to get out. And one day, my aunt flew into town, and she showed me the library's old-movie section. We spent a whole day watching one after the other. Bringing Up Baby. Notorious. Casablanca.  I never knew the world was so big.
mia		I started putting on plays in my garage. I'd write the scripts and print up programs, and she'd give me props to use from wherever she'd just been -- New York, London, Paris. And then she'd jet off again and I wouldn't hear from her for another year.
sebastian		Who would you invite to watch? Your parents?
mia		God no -- I didn't invite anyone. That would have been terrifying.
sebastian		...`Cause the world needs more lawyers.
mia		Well it doesn't need more actresses.
sebastian		You're not just an actress.
mia		What do you mean, "just an actress"?
sebastian		You said it yourself, you're a child- prodigy playwright.
mia		That is not what I said.
sebastian		You're too modest to say it but it's true. So you could write your own roles. Write something that's as interesting as you are.
mia		Last thing I wrote was a stand-up routine for an open-mic night. It was horrible.
sebastian		All I'm saying is -- Louis Armstrong could have played the marching-band charts he was given. What did he do instead? He made history.
mia		Ok, I'll stop auditioning and make history instead.
sebastian		Yeah?
mia		I hate jazz.
sebastian		What does that mean? "I hate jazz"?
mia		It means when I listen to it I don't like it.
sebastian		But it's such a blanket statement. It's like saying "I hate animals".
mia		I do hate some animals.
sebastian		Do you need to be anywhere right now?
mia		I thought it was just Kenny G.
sebastian		...What?
mia		I associate it with facials. It's relaxing.
sebastian		It's not relaxing! Sid Bechet got into a gunfight `cause somebody told him he played a wrong note!
mia		 Right, but it's good to talk over. Where I grew up there's this jazz station they'd play at cocktail parties whenever they served the salami and cheese.
sebastian		Mia. These are things you can't unsay.
mia		Your club?
sebastian		...It's gonna be the old Van Beek. I'm getting the lease back. It'll be perfect.
mia		Hi, I just missed a call...
sebastian		Really? For what?
mia		That show I told you about.
sebastian		Dangerous Minds meets The O.C.?
mia		Right. It's -- actually more like Rebel Without a Cause.
sebastian		That's amazing! "I got the bulletsssss!"
mia		Obviously.  No.
sebastian		What? You're the movie person.
mia		It's the one I lie about.
sebastian		Come on. You can't do this audition and never see Rebel. The theater near me's playing it. If you want -- I can take you. For research.
mia		 ...Ok.
sebastian		10pm Monday at the Rialto. Cool?
mia		Ok.  For research.
mia		Great, actually: I got a call-back on a pilot.
mia		Well -- it's not picked up yet.
mia		First they make the pilot, then if they like the pilot it goes on TV.
mia		Well, no, I have a call-back.
mia		It's another audition.
mia		...Well when you put it like that it sounds like a huge accomplishment.
mia		Oxygen.
mia		You know what, I have to go. I love you.
assistant		Mia Dolan?
director		Whenever you're ready.
mia		Two options. Follow my rules, or follow my rules. Kapish? You want to bully, you'd best be ready to get bullied --
director		Thanks.
mia		I can do it another way --
director		No, thanks, that was great.
alexis		Mia?
greg		Hey... I'm parked out front. But we should hurry, my brother just landed.
mia		Shit. No. Yes. I'll change...
greg		 It's ok.
josh		That's right -- but now we've got a surround-sound set-up, so it's like --
fiancee		It's like being in a movie theater.
josh		It's better than going to a theater, really. You know theaters these days --
greg		Oh, sure --
josh		-- they're so dirty, and they're either too hot or too cold, and there's always people talking, which is just --  Hello?...
fiancee		Probably work.
